Centrale,Combustible,Sous-filière,Date de mise en service industrielle,Puissance installée (MW),Puissance minimum de conception (MW),Réserve secondaire maximale (MW),Région,Département,Commune,latitude_centre,longitude_centre
GRAVELINES 6,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1985-10-25,910,180,40,HAUTS-DE-FRANCE,NORD,Gravelines,51.012846,2.139287
NOGENT 1,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1988-02-24,1310,260,60,GRAND EST,AUBE,Nogent-sur-Seine,48.514581,3.524182
NOGENT 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1989-05-01,1310,260,60,GRAND EST,AUBE,Nogent-sur-Seine,48.514581,3.524182
PALUEL 1,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1985-12-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Paluel,49.858754,0.634759
PALUEL 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1985-12-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Paluel,49.858754,0.634759
PALUEL 3,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1986-02-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Paluel,49.858754,0.634759
PALUEL 4,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1986-06-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Paluel,49.858754,0.634759
PENLY 1,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1990-12-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Petit-Caux,49.976144,1.210236
PENLY 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1992-11-01,1330,260,60,NORMANDIE,SEINE-MARITIME,Petit-Caux,49.976144,1.210236
ST-ALBAN 1,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1986-05-01,1335,260,60,AUVERGNE-RHONE-ALPES,ISERE,Saint-Maurice-l'Exil,45.405445,4.755573
ST-ALBAN 2,Uranium Enrichi,Réacteur à eau pressurisée (REP) 1300,1987-03-01,1335,260,60,AUVERGNE-RHONE-ALPES,ISERE,Saint-Maurice-l'Exil,45.405445,4.755573
ST-LAURENT B 1,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1983-08-01,915,180,40,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,Saint-Laurent-Nouan,47.720248,1.580217
ST-LAURENT B 2,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1983-08-01,915,180,40,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,Saint-Laurent-Nouan,47.720248,1.580217
TRICASTIN 1,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1980-12-01,915,180,40,AUVERGNE-RHONE-ALPES,DROME,Saint-Paul-Trois-Châteaux,44.326355,4.731541
TRICASTIN 2,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1980-12-01,915,180,40,AUVERGNE-RHONE-ALPES,DROME,Saint-Paul-Trois-Châteaux,44.326355,4.731541
TRICASTIN 3,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1981-05-11,915,180,40,AUVERGNE-RHONE-ALPES,DROME,Saint-Paul-Trois-Châteaux,44.326355,4.731541
TRICASTIN 4,Multi-oxyde d’uranium et de plutonium,Réacteur à eau pressurisée (REP) 900,1981-11-01,915,180,40,AUVERGNE-RHONE-ALPES,DROME,Saint-Paul-Trois-Châteaux,44.326355,4.731541
