Nom aeroport;Code OACI;Code IATA;latitude_centre;longitude_centre;Ville desservie
ROCHEFORT-ST-AGNANT;LFDN;RCO;45.889444;-0.9825;Rochefort
RODEZ-MARCILLAC;LFCR;RDZ;44.40972222222222;2.479722222222222;Rodez
ROUEN-VALLEE-DE-SEINE;LFOP;URO;49.39;1.1797222222222223;Rouen
SAINT-BRIEUC-ARMOR;LFRT;SBK;48.537778;-2.856667;Saint-Brieuc
SAINT-ETIENNE-BOUTHEON;LFMH;EBU;45.53;4.3;Saint-Etienne
SAINT-NAZAIRE-MONTOIR;LFRZ;SNR;47.309999999999995;-2.1599999999999997;Saint-Nazaire
STRASBOURG-ENTZHEIM;LFST;SXB;48.53972222222222;7.629722222222223;Strasbourg
TARBES-LOURDES-PYRENEES;LFBT;LDE;43.189722222222215;0;Tarbes
HYERES-LE-PALYVESTRE;LFTH;TLN;43.1;6.15;Toulon
TOULOUSE-BLAGNAC;LFBO;TLS;43.63;1.37;Toulouse
TOURS-VAL-DE-LOIRE;LFOT;TUF;47.433056;0.723333;Tours
TROYES-BARBEREY;LFQB;QYR;48.321667;4.016667;Troyes
VALENCE-CHABEUIL;LFLU;VAF;44.919999999999995;4.969722222222222;Valence
VALENCIENNES-DENAIN;LFAV;XVS;50.324722;3.465556;Valenciennes
VICHY-CHARMEIL;LFLV;VHY;46.169999999999995;3.4;Vichy
PONTE-A-PITRE-LE-RAIZET;TFFR;PTP;16.264722222222222;-61.5255555555556;Point Ã  Pitre
MARTINIQUE-AIMEE-CESAIRE;TFFF;FDF;14.590833333333334;-61.0030555555556;Le Lamentin
SAINT-DENIS-ROLAND-GARROS;FMEE;RUN;-20.89;55.51638888888889;Saint-Denis
CAYENNE-ROCHAMBEAU;SOCA;CAY;4.820278;-52.360278;Cayenne
